X,Y,calle,colonias,ID_COL,tipo,Ubicación,Reporte
-103.731156,19.274846,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,8,jardin,Buen estado
-103.731435,19.274975,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.731284,19.274981,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,10,jardin,Buen estado
-103.731778,19.275236,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.73214,19.275511,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.732522,19.275813,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.732837,19.276053,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.733145,19.276286,Adolfo Cardenas Cortes,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.734924,19.272969,AND Antonio Cardenas S,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.735233,19.273208,AND Antonio Cardenas S,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.735545,19.273445,AND Antonio Cardenas S,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.733856,19.274243,and Ciro Barajas Mendoza,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.734166,19.274475,and Ciro Barajas Mendoza,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.734477,19.274716,and Ciro Barajas Mendoza,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.733601,19.274537,Antonio Salazar Salazar,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.733913,19.274775,Antonio Salazar Salazar,ALFREDO V BONFIL,10001014,4,Colonia,En mal estado
-103.734223,19.275011,Antonio Salazar Salazar,ALFREDO V BONFIL,10001014,4,Colonia,En mal estado
-103.730412,19.275888,AntonioHernandez,ALFREDO V BONFIL,10001014,2,Colonia,En mal estado
-103.730623,19.274842,Arturo Ahumada,ALFREDO V BONFIL,10001014,4,Colonia,En mal estado
-103.730183,19.275051,Arturo Ahumada,ALFREDO V BONFIL,10001014,4,Colonia,En mal estado
-103.734104,19.271711,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.734581,19.272075,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.736051,19.273194,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.736314,19.273394,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.736596,19.273604,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.738268,19.274307,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.738641,19.274248,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.738971,19.27413,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",En mal estado
-103.739352,19.273972,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.735224,19.272566,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.735769,19.272978,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.736903,19.273847,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.737207,19.27405,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.737561,19.274216,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.737892,19.274294,Av Maria Ahumada de Gomez,ALFREDO V BONFIL,10001014,1,"Doble, Avenida",Buen estado
-103.736546,19.273995,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.736296,19.274293,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.736013,19.274628,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.735738,19.274949,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.735448,19.275294,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.735163,19.275632,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.734864,19.275983,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.73459,19.27631,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.734338,19.276614,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.734047,19.276963,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.733802,19.277251,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.733515,19.277584,Ayuntamiento,ALFREDO V BONFIL,10001014,1,Colonia,Buen estado
-103.734384,19.273603,Carlos Gutierrez Zamora,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.734699,19.273843,Carlos Gutierrez Zamora,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.735011,19.27408,Carlos Gutierrez Zamora,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.735345,19.274336,Carlos Gutierrez Zamora,ALFREDO V BONFIL,10001014,4,Colonia,En mal estado
-103.7357,19.274609,Carlos Gutierrez Zamora,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.731096,19.275566,Delgado Valiente,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.730682,19.27576,Delgado Valiente,ALFREDO V BONFIL,10001014,4,Colonia,Buen estado
-103.730767,19.273922,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.731094,19.274172,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.731405,19.274409,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.731715,19.274644,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.732067,19.274909,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.732421,19.27518,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
-103.732806,19.275473,Eduardo Cruz Gonzalez,ALFREDO V BONFIL,10001014,2,Colonia,Buen estado
